Filename	Domain	Age	Sex	isSlavic	Source	OriginalName	NewlyAnnotated
tei-skript2012_10-grp1bsedkat_1	Natives Formal	15	F	Yes	Skript2012	grp1bsedkat_1.xml	No
tei-skript2012_10-pr1chouluc_01_1	Natives Formal	15	F	Yes	Skript2012	pr1chouluc_01_1.xml	No
tei-skript2012_10-pr1ccejeli_02_1	Natives Formal	15	F	Yes	Skript2012	pr1ccejeli_02_1.xml	Yes
tei-skript2012_10-pr1czvepet_02_1	Natives Formal	15	M	Yes	Skript2012	pr1czvepet_02_1.xml	Yes
tei-skript2012_10-pr1czemdav_02_1	Natives Formal	15	M	Yes	Skript2012	pr1czemdav_02_1.xml	Yes
tei-skript2012_10-pr1cdvotom_01_1	Natives Formal	15	M	Yes	Skript2012	pr1cdvotom_01_1.xml	No
tei-skript2012_10-cb1czavluk_02_1	Natives Formal	15	M	Yes	Skript2012	cb1czavluk_02_1.xml	Yes
tei-skript2012_10-pr1ebarmic_02_1	Natives Formal	15	F	Yes	Skript2012	pr1ebarmic_02_1.xml	Yes
tei-skript2012_10-grp1bstljak_1	Natives Formal	15	M	Yes	Skript2012	grp1bstljak_1.xml	No
tei-skript2012_10-cb1apexpet_01_1	Natives Formal	15	M	Yes	Skript2012	cb1apexpet_01_1.xml	Yes
tei-skript2012_10-cb1ajanjak_01_1	Natives Formal	15	M	Yes	Skript2012	cb1ajanjak_01_1.xml	Yes
tei-skript2012_10-pr1ccerluk_02_1	Natives Formal	15	M	Yes	Skript2012	pr1ccerluk_02_1.xml	No
tei-skript2012_10-cb1aperver_01_1	Natives Formal	15	F	Yes	Skript2012	cb1aperver_01_1.xml	Yes
tei-skript2012_10-cb1csebren_02_1	Natives Formal	15	M	Yes	Skript2012	cb1csebren_02_1.xml	Yes
tei-skript2012_10-pr1czemdav_01_1	Natives Formal	15	M	Yes	Skript2012	pr1czemdav_01_1.xml	No
tei-skript2012_10-grp1bmaykat_1	Natives Formal	15	F	Yes	Skript2012	grp1bmaykat_1.xml	Yes
tei-skript2012_10-cb1azemane_02_1	Natives Formal	15	F	Yes	Skript2012	cb1azemane_02_1.xml	Yes
tei-skript2012_10-grp1bbare_1	Natives Formal	15	F	Yes	Skript2012	grp1bbare_1.xml	Yes
tei-skript2012_10-pr1cbinz_02_1	Natives Formal	15	F	Yes	Skript2012	pr1cbinz_02_1.xml	No
tei-skript2012_10-grp1bdrbpav_1	Natives Formal	15	M	Yes	Skript2012	grp1bdrbpav_1.xml	Yes
tei-skript2012_10-cb1czavluk_01_1	Natives Formal	15	M	Yes	Skript2012	cb1czavluk_01_1.xml	No
tei-skript2012_10-pr1cdedond_02_1	Natives Formal	15	M	Yes	Skript2012	pr1cdedond_02_1.xml	Yes
tei-skript2012_10-grp1bsvotom_1	Natives Formal	15	M	Yes	Skript2012	grp1bsvotom_1.xml	Yes
tei-skript2012_10-cb1akaster_02_1	Natives Formal	15	F	Yes	Skript2012	cb1akaster_02_1.xml	No
tei-skript2012_10-pr1chusnel_02_1	Natives Formal	15	F	Yes	Skript2012	pr1chusnel_02_1.xml	Yes
tei-skript2012_10-cb1akuband_01_1	Natives Formal	15	F	Yes	Skript2012	cb1akuband_01_1.xml	No
tei-skript2012_10-cb1csovvla_02_1	Natives Formal	15	M	Yes	Skript2012	cb1csovvla_02_1.xml	Yes
tei-skript2012_10-pr1ebarmic_01_1	Natives Formal	15	F	Yes	Skript2012	pr1ebarmic_01_1.xml	No
tei-skript2012_10-cb1cratsta_02_1	Natives Formal	15	M	Yes	Skript2012	cb1cratsta_02_1.xml	Yes
tei-skript2012_10-grp1bvojjan_1	Natives Formal	15	M	Yes	Skript2012	grp1bvojjan_1.xml	Yes
tei-skript2012_10-cb1ckubjan_01_1	Natives Formal	15	F	Yes	Skript2012	cb1ckubjan_01_1.xml	Yes
tei-skript2012_10-cb1astajan_01_1	Natives Formal	15	M	Yes	Skript2012	cb1astajan_01_1.xml	Yes
tei-skript2012_10-cb1akasmic_01_1	Natives Formal	15	M	Yes	Skript2012	cb1akasmic_01_1.xml	Yes
tei-skript2012_10-cb1czikver_02_1	Natives Formal	15	F	Yes	Skript2012	cb1czikver_02_1.xml	Yes
tei-skript2012_10-grp1bgol_1	Natives Formal	15	M	Yes	Skript2012	grp1bgol_1.xml	No
tei-skript2012_10-pr1cbezjan_01_1	Natives Formal	15	M	Yes	Skript2012	pr1cbezjan_01_1.xml	No
tei-skript2012_10-cb1akasmic_02_1	Natives Formal	15	M	Yes	Skript2012	cb1akasmic_02_1.xml	Yes
tei-skript2012_10-cb1ajanjak_02_1	Natives Formal	15	M	Yes	Skript2012	cb1ajanjak_02_1.xml	Yes
